Sat Nov 26 22:45:25 2022,average_velocity_U,average_velocity_V,average_velocity_W,U_variance_Prime,V_variance_Prime,W_variance_Prime,U_stdev_Prime,V_stdev_Prime,W_stdev_Prime,Skewness_U_Prime,Skewness_V_Prime,Skewness_W_Prime,Kurtosis_U_Prime,Kurtosis_V_Prime,Kurtosis_W_Prime,Reynolds_stress_u'v',Reynolds_stress_u'w',Reynolds_stress_v'w',Anisotropy,M30,M03,M12,M21,fku_2d,Fku_2d,fkw_2d,Fkw_2d,fku_3d,Fku_3d,fkw_3d,Fkw_3d,TKE_3d,Q1_K_Value,Q2_K_Value,Q3_K_Value,Q4_K_Value,e,ED,Octant_plus_1,Octant_minus_1,Octant_plus_2,Octant_minus_2,Octant_plus_3,Octant_minus_3,Octant_plus_4,Octant_minus_4,Total_Octant_sample,Probability_Octant_plus_1,Probability_Octant_minus_1,Probability_Octant_plus_2,Probability_Octant_minus_2,Probability_Octant_plus_3,Probability_Octant_minus_3,Probability_Octant_plus_4,Probability_Octant_minus_4,Min_Octant_Count,Min_Octant_Count_id,Max_Octant_Count,Max_Octant_Count_id,
Sat Nov 26 23:04:49 2022,average_velocity_U,average_velocity_V,average_velocity_W,U_variance_Prime,V_variance_Prime,W_variance_Prime,U_stdev_Prime,V_stdev_Prime,W_stdev_Prime,Skewness_U_Prime,Skewness_V_Prime,Skewness_W_Prime,Kurtosis_U_Prime,Kurtosis_V_Prime,Kurtosis_W_Prime,Reynolds_stress_u'v',Reynolds_stress_u'w',Reynolds_stress_v'w',Anisotropy,M30,M03,M12,M21,fku_2d,Fku_2d,fkw_2d,Fkw_2d,fku_3d,Fku_3d,fkw_3d,Fkw_3d,TKE_3d,Q1_K_Value,Q2_K_Value,Q3_K_Value,Q4_K_Value,e,ED,Octant_plus_1,Octant_minus_1,Octant_plus_2,Octant_minus_2,Octant_plus_3,Octant_minus_3,Octant_plus_4,Octant_minus_4,Total_Octant_sample,Probability_Octant_plus_1,Probability_Octant_minus_1,Probability_Octant_plus_2,Probability_Octant_minus_2,Probability_Octant_plus_3,Probability_Octant_minus_3,Probability_Octant_plus_4,Probability_Octant_minus_4,Min_Octant_Count,Min_Octant_Count_id,Max_Octant_Count,Max_Octant_Count_id,
7.9_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1_previous_point,0.271,-0.017,-0.017,0.001,0.0,0.0,0.035,0.024,0.013,-0.498,-1.175,-1.021,0.13,2.757,3.824,0.0,0.0,0.0,0.371,-0.478,-1.01,-0.656,-0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11,3,0,0,30,21,55,4,20,25,7,38,200,0.15,0.105,0.275,0.02,0.1,0.125,0.035,0.19,4,-2,55,2,
7.9_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1_previous_point,0.271,-0.017,-0.017,0.001,0.0,0.0,0.035,0.024,0.013,-0.498,-1.175,-1.021,0.13,2.757,3.824,0.0,0.0,0.0,0.371,-0.478,-1.01,-0.656,-0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11,3,0,0,30,21,55,4,20,25,7,38,200,0.15,0.105,0.275,0.02,0.1,0.125,0.035,0.19,4,-2,55,2,
7.6_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1_previous_point,0.271,-0.017,-0.017,0.001,0.0,0.0,0.035,0.024,0.013,-0.498,-1.175,-1.021,0.13,2.757,3.824,0.0,0.0,0.0,0.371,-0.478,-1.01,-0.656,-0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11,3,0,0,30,21,55,4,20,25,7,38,200,0.15,0.105,0.275,0.02,0.1,0.125,0.035,0.19,4,-2,55,2,
7.6_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1_previous_point,0.271,-0.017,-0.017,0.001,0.0,0.0,0.035,0.024,0.013,-0.498,-1.175,-1.021,0.13,2.757,3.824,0.0,0.0,0.0,0.371,-0.478,-1.01,-0.656,-0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11,3,0,0,30,21,55,4,20,25,7,38,200,0.15,0.105,0.275,0.02,0.1,0.125,0.035,0.19,4,-2,55,2,
7.2_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1_previous_point,0.271,-0.017,-0.017,0.001,0.0,0.0,0.035,0.024,0.013,-0.498,-1.175,-1.021,0.13,2.757,3.824,0.0,0.0,0.0,0.371,-0.478,-1.01,-0.656,-0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11,3,0,0,30,21,55,4,20,25,7,38,200,0.15,0.105,0.275,0.02,0.1,0.125,0.035,0.19,4,-2,55,2,
7.2_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1_previous_point,0.271,-0.017,-0.017,0.001,0.0,0.0,0.035,0.024,0.013,-0.498,-1.175,-1.021,0.13,2.757,3.824,0.0,0.0,0.0,0.371,-0.478,-1.01,-0.656,-0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11,3,0,0,30,21,55,4,20,25,7,38,200,0.15,0.105,0.275,0.02,0.1,0.125,0.035,0.19,4,-2,55,2,
Tue Nov 29 00:56:11 2022,average_velocity_U,average_velocity_V,average_velocity_W,U_variance_Prime,V_variance_Prime,W_variance_Prime,U_stdev_Prime,V_stdev_Prime,W_stdev_Prime,Skewness_U_Prime,Skewness_V_Prime,Skewness_W_Prime,Kurtosis_U_Prime,Kurtosis_V_Prime,Kurtosis_W_Prime,Reynolds_stress_u'v',Reynolds_stress_u'w',Reynolds_stress_v'w',Anisotropy,M30,M03,M12,M21,fku_2d,Fku_2d,fkw_2d,Fkw_2d,fku_3d,Fku_3d,fkw_3d,Fkw_3d,TKE_3d,Q1_K_Value,Q2_K_Value,Q3_K_Value,Q4_K_Value,e,ED,Octant_plus_1,Octant_minus_1,Octant_plus_2,Octant_minus_2,Octant_plus_3,Octant_minus_3,Octant_plus_4,Octant_minus_4,Total_Octant_sample,Probability_Octant_plus_1,Probability_Octant_minus_1,Probability_Octant_plus_2,Probability_Octant_minus_2,Probability_Octant_plus_3,Probability_Octant_minus_3,Probability_Octant_plus_4,Probability_Octant_minus_4,Min_Octant_Count,Min_Octant_Count_id,Max_Octant_Count,Max_Octant_Count_id,
Tue Nov 29 00:57:53 2022,average_velocity_U,average_velocity_V,average_velocity_W,U_variance_Prime,V_variance_Prime,W_variance_Prime,U_stdev_Prime,V_stdev_Prime,W_stdev_Prime,Skewness_U_Prime,Skewness_V_Prime,Skewness_W_Prime,Kurtosis_U_Prime,Kurtosis_V_Prime,Kurtosis_W_Prime,Reynolds_stress_u'v',Reynolds_stress_u'w',Reynolds_stress_v'w',Anisotropy,M30,M03,M12,M21,fku_2d,Fku_2d,fkw_2d,Fkw_2d,fku_3d,Fku_3d,fkw_3d,Fkw_3d,TKE_3d,Q1_K_Value,Q2_K_Value,Q3_K_Value,Q4_K_Value,e,ED,Octant_plus_1,Octant_minus_1,Octant_plus_2,Octant_minus_2,Octant_plus_3,Octant_minus_3,Octant_plus_4,Octant_minus_4,Total_Octant_sample,Probability_Octant_plus_1,Probability_Octant_minus_1,Probability_Octant_plus_2,Probability_Octant_minus_2,Probability_Octant_plus_3,Probability_Octant_minus_3,Probability_Octant_plus_4,Probability_Octant_minus_4,Min_Octant_Count,Min_Octant_Count_id,Max_Octant_Count,Max_Octant_Count_id,
